feature,rf_importance,lgbm_importance
danceability,0.061244557635950714,34361
energy,0.06002899082057951,31407
loudness,0.06030734779618604,31829
speechiness,0.060685417952058514,35155
acousticness,0.0639875010769689,32686
instrumentalness,0.04886230406070079,25744
liveness,0.0564439691795299,33874
valence,0.06228423255851759,34374
tempo,0.06049618036275466,32128
duration_ms,0.0613278709659878,34356
track_genre_acoustic,0.0013554108231157366,178
track_genre_afrobeat,0.001513048047751497,107
track_genre_alt-rock,0.002773109654944827,303
track_genre_alternative,0.003947960927606121,414
track_genre_ambient,0.0020593527489139994,204
track_genre_anime,0.0031371479905239856,187
track_genre_black-metal,0.0014404300447108623,100
track_genre_bluegrass,0.0015468435601096262,101
track_genre_blues,0.002329356062943809,247
track_genre_brazil,0.0009325489410686397,96
track_genre_breakbeat,0.00296378855729859,198
track_genre_british,0.00252572708487385,319
track_genre_cantopop,0.0007188882014721296,123
track_genre_chicago-house,0.006856045148473249,115
track_genre_children,0.0011331892412329867,229
track_genre_chill,0.006998862143125506,232
track_genre_classical,0.005980816664710987,306
track_genre_club,0.0007406642385037023,124
track_genre_comedy,0.0009590139135507062,79
track_genre_country,0.005328101809478925,391
track_genre_dance,0.004294228645769042,497
track_genre_dancehall,0.0010698036886409665,186
track_genre_death-metal,0.0004962751453927338,159
track_genre_deep-house,0.001885400590127088,225
track_genre_detroit-techno,0.00754166389868529,108
track_genre_disco,0.0018198715296848151,393
track_genre_disney,0.0009409563638391629,105
track_genre_drum-and-bass,0.0011452016583586775,144
track_genre_dub,0.0007110062833363372,129
track_genre_dubstep,0.0007113998885289959,103
track_genre_edm,0.0028050206352834895,417
track_genre_electro,0.0034348527279323944,446
track_genre_electronic,0.001490395949182518,173
track_genre_emo,0.0029229945132090776,240
track_genre_folk,0.0017385010888237792,254
track_genre_forro,0.0008598177079594195,42
track_genre_french,0.0015400127961453273,271
track_genre_funk,0.0025063967124084045,228
track_genre_garage,0.0014465924913826147,277
track_genre_german,0.002386773282290335,275
track_genre_gospel,0.0003671884972733571,55
track_genre_goth,0.0009983862781292217,118
track_genre_grindcore,0.0038861252675051407,68
track_genre_groove,0.0013441282349816387,317
track_genre_grunge,0.003624578699611065,297
track_genre_guitar,0.0007508901545654902,151
track_genre_happy,0.002193554820824072,145
track_genre_hard-rock,0.0022854915150948047,273
track_genre_hardcore,0.0009434751573616232,220
track_genre_hardstyle,0.0013718355836851532,169
track_genre_heavy-metal,0.0012120231473509405,88
track_genre_hip-hop,0.0034713367429528436,356
track_genre_honky-tonk,0.004686514762887586,132
track_genre_house,0.0032416654268329383,413
track_genre_idm,0.004612056878006505,140
track_genre_indian,0.003347535011029963,195
track_genre_indie,0.003028607247565229,443
track_genre_indie-pop,0.002750821934577125,437
track_genre_industrial,0.0008400059714467957,178
track_genre_iranian,0.014747090449460766,117
track_genre_j-dance,0.0015265826038134162,162
track_genre_j-idol,0.0018730572164383174,129
track_genre_j-pop,0.0023439805271800083,316
track_genre_j-rock,0.0009333256069768679,181
track_genre_jazz,0.006751139802945325,222
track_genre_k-pop,0.009131707472312987,182
track_genre_kids,0.005922748806536092,122
track_genre_latin,0.011823232965452183,316
track_genre_latino,0.0028422148012017027,369
track_genre_malay,0.0009325941457642525,105
track_genre_mandopop,0.0010681471490698808,154
track_genre_metal,0.002771083516499138,302
track_genre_metalcore,0.0013879226439884335,277
track_genre_minimal-techno,0.0005172017476305858,128
track_genre_mpb,0.0005070740094539218,62
track_genre_new-age,0.0006387636343037715,149
track_genre_opera,0.0015089918187890863,146
track_genre_pagode,0.001511397078501786,110
track_genre_party,0.0027986165607287398,157
track_genre_piano,0.002792478287403141,353
track_genre_pop,0.005279613292542792,437
track_genre_pop-film,0.010686506909657377,157
track_genre_power-pop,0.0011998641723225487,171
track_genre_progressive-house,0.0023918679283594633,253
track_genre_psych-rock,0.002108823136193093,202
track_genre_punk,0.0014149772972345033,181
track_genre_punk-rock,0.0009660767985303363,119
track_genre_r-n-b,0.0012667252434355534,126
track_genre_reggae,0.004029415940105785,343
track_genre_reggaeton,0.0031164434763076114,435
track_genre_rock,0.004788761069548026,391
track_genre_rock-n-roll,0.0007282621456421931,149
track_genre_rockabilly,0.00095471308443679,172
track_genre_romance,0.013404636669203903,100
track_genre_sad,0.005311267274289723,110
track_genre_salsa,0.0008567728850778324,87
track_genre_samba,0.00045149027549153266,66
track_genre_sertanejo,0.0026801114843172597,94
track_genre_show-tunes,0.0010780792113335887,160
track_genre_singer-songwriter,0.002193482157662337,209
track_genre_ska,0.0005854556474940056,84
track_genre_sleep,0.0011613188128154716,205
track_genre_songwriter,0.002107643324728341,197
track_genre_soul,0.0051254768689142655,366
track_genre_spanish,0.001521422619640022,378
track_genre_study,0.0011051290487432196,137
track_genre_swedish,0.0014040901541120595,241
track_genre_synth-pop,0.0013151652013978763,269
track_genre_tango,0.0025971641027628983,97
track_genre_techno,0.0010055803688577968,188
track_genre_trance,0.0008723278123110667,130
track_genre_trip-hop,0.0010060952638406813,222
track_genre_turkish,0.0005858857550271622,73
track_genre_world-music,0.0006954490461218373,132
key_0,0.006601237087580817,1052
key_1,0.006073180163106644,963
key_2,0.005904503139962319,1174
key_3,0.003512837922498025,309
key_4,0.005280792188042957,809
key_5,0.005898931456435075,971
key_6,0.005560162250687367,703
key_7,0.006236328033504674,1163
key_8,0.0054044884335717825,692
key_9,0.006125423852166225,886
key_10,0.005163590963892884,609
key_11,0.005853176576319638,801
mode_0,0.008053869439194467,3690
mode_1,0.008064636696670457,337
time_signature_0,5.6847426643227305e-05,0
time_signature_1,0.0006678540856392757,60
time_signature_3,0.0031085134469279953,518
time_signature_4,0.0038136899158820806,634
time_signature_5,0.0011275359406422707,105
explicit_0,0.0048166024547960755,903
explicit_1,0.00473828806062025,77
