group,rf_importance,lgbm_importance
speechiness,0.0606854179520585,35155
valence,0.0622842325585175,34374
danceability,0.0612445576359507,34361
duration_ms,0.0613278709659878,34356
liveness,0.0564439691795299,33874
acousticness,0.0639875010769689,32686
tempo,0.0604961803627546,32128
loudness,0.060307347796186,31829
energy,0.0600289908205795,31407
instrumentalness,0.0488623040607007,25744
track_genre,0.3022691380559752,23660
key,0.0676146520677678,10132
mode,0.0161185061358648,4027
time_signature,0.008774440815734526,1317
explicit,0.0095548905154162,980
